Sample ID,Cell ID,Source ID,Score,tsne-x,tsne-y,Selected,Cluster indicators
discrete,string,discrete,continuous,continuous,continuous,discrete,"AXLSIGLEC6,\ No AXLSIGLEC6,\ Yes BPDCN1,\ No BPDCN1,\ Yes BPDCN2,\ No BPDCN2,\ Yes BPDCN3,\ No BPDCN3,\ Yes BPDCN4,\ No BPDCN4,\ Yes C100C34int,\ No C100C34int,\ Yes CD123NEG,\ No CD123NEG,\ Yes CD141,\ No CD141,\ Yes CD1C,\ No CD1C,\ Yes DoubleNeg,\ No DoubleNeg,\ Yes Mono,\ No Mono,\ Yes pDC,\ No pDC,\ Yes"
class,meta,meta,meta,meta,meta,meta,meta
AXLSIGLEC6,AXLSIGLEC6_Bin1_S13_S5,Validation,2.7376591017720844,-10.213936805725098,-18.91069221496582,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin1_S14_S6,Validation,2.7870348476945708,-11.327123641967773,-18.51470947265625,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin1_S16_S8,Validation,2.5322030763318657,-11.399084091186523,-18.111413955688477,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin1_S17_S9,Validation,2.835658474086458,-9.418017387390137,-19.30129623413086,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin1_S20_S12,Validation,2.685593186490129,-12.118865966796875,-20.524370193481445,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin1_S9_S1,Validation,3.08524951694206,-12.227075576782227,-18.826026916503906,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin2_S11_S15,Validation,2.264739632716111,-11.844910621643066,-18.092403411865234,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin2_S18_S22,Validation,2.796454230695522,-12.379387855529785,-16.40229606628418,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin2_S19_S23,Validation,2.9343829281908382,-8.317214012145996,-17.386459350585938,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin2_S9_S13,Validation,2.7384139263909884,-11.475573539733887,-17.415435791015625,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin3_S10_S26,Validation,2.2841223265011923,-9.500581741333008,-18.751523971557617,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin3_S12_S28,Validation,2.6224776195822583,-13.114380836486816,-18.504419326782227,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin3_S13_S29,Validation,2.83719889790511,-10.7559814453125,-16.652631759643555,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin3_S15_S31,Validation,2.658118973635437,-9.308733940124512,-18.495594024658203,Yes,"AXLSIGLEC6, Yes"
AXLSIGLEC6,AXLSIGLEC6_Bin3_S17_S33,Validation,2.391349979059687,-10.87543773651123,-15.645162582397461,Yes,"AXLSIGLEC6, Yes"
